metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
97,3+kk,C,Ve velmi dobrém stavu,praha 5,12790000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-musilkova/2211881548
88,3+kk,B,Novostavba,praha 5,12990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-na-laurove/1651749452
38,1+kk,D,Po rekonstrukci,praha 2,8490000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-polska/1711714892
51,2+kk,B,Novostavba,praha 5,8650000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-toufarova/2620797516
39,1+kk,B,Novostavba,praha 5,6590000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-na-laurove/754255180
204,5+kk,B,Novostavba,praha 5,42990000,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-smichov-na-laurove/1140131148
119,4+kk,D,Novostavba,praha 2,34300000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-polska/2936451660
95,3+kk,B,Novostavba,praha 5,15190000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-na-laurove/437585228
98,4+kk,B,Novostavba,praha 5,17890000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-na-laurove/938804556
51,2+kk,E,V dobrém stavu,praha 3,6090000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-hartigova/2010579532
137,4+kk,B,Novostavba,praha 5,22690000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-na-laurove/2162492748
96,3+kk,B,Novostavba,praha 5,14790000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-na-laurove/3124102476
69,2+kk,B,Novostavba,stredni-cechy,7990000,https://www.sreality.cz/detail/prodej/byt/2+kk/vysoky-ujezd-vysoky-ujezd-ke-kuchari/3109356108
62,2+kk,B,Novostavba,praha 5,10190000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-laurove/2654340428
72,3+kk,B,Novostavba,stredni-cechy,7998000,https://www.sreality.cz/detail/prodej/byt/3+kk/slapy-slapy-/3163492940
85,3+kk,B,Novostavba,stredni-cechy,9990000,https://www.sreality.cz/detail/prodej/byt/3+kk/vysoky-ujezd-vysoky-ujezd-ke-kuchari/2755347788
51,2+kk,B,Novostavba,praha 5,8650000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-toufarova/2620797516
74,2+kk,C,Ve velmi dobrém stavu,stredni-cechy,4354900,https://www.sreality.cz/detail/prodej/byt/2+kk/milicin-milicin-/2152895052
103,4+kk,C,Ve velmi dobrém stavu,praha 4,10990000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-ujezd-u-pruhonic-proutena/2877370956
97,3+kk,C,Ve velmi dobrém stavu,praha 5,12790000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-musilkova/2211881548
59,2+kk,A,Novostavba,praha 5,10724000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-radlice-u-komina/1798042188
41,2+kk,G,Po rekonstrukci,stredni-cechy,3990000,https://www.sreality.cz/detail/prodej/byt/2+kk/smecno-smecno-kacicka/144294476
58,2+kk,B,Ve velmi dobrém stavu,praha 5,7423500,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-lochkov-cementarska/2340696652
79,3+kk,B,Novostavba,stredni-cechy,16500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-toyen/856736332
54,2+kk,A,Novostavba,praha 5,8990000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-radlice-u-komina/1373426252
123,3+kk,A,Novostavba,praha 8,17450000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-pernerova/1971962444
56,2+kk,C,Ve velmi dobrém stavu,praha 10,7485000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-uhrineves-k-netlukam/2424926796
55,3+kk,D,Ve velmi dobrém stavu,praha 3,9250000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-buchovcova/4095672908
24,1+kk,C,Ve velmi dobrém stavu,praha 4,4450000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-chodov-ceneticka/187105868
69,3+kk,C,Po rekonstrukci,stredni-cechy,4880000,https://www.sreality.cz/detail/prodej/byt/3+kk/slany-slany-prazska/3451322956
105,3+kk,G,V dobrém stavu,praha 5,15200000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-pred-cibulkami/1634337356
46,2+kk,G,Ve velmi dobrém stavu,praha 3,7810580,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-chelcickeho/63788364
44,2+kk,B,Novostavba,stredni-cechy,4200000,https://www.sreality.cz/detail/prodej/byt/2+kk/horovice-horovice-nadrazni/4099899980
73,3+kk,C,Ve velmi dobrém stavu,stredni-cechy,5025900,https://www.sreality.cz/detail/prodej/byt/3+kk/milicin-milicin-/2549776972
106,4+kk,C,Ve velmi dobrém stavu,praha 10,13590000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-michle-v-doline/602997324
27,1+kk,B,Novostavba,praha 10,7490000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-strasnice-ramonova/2559971916
66,3+kk,B,Ve velmi dobrém stavu,praha 5,20750000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-milose-havla/1501102668
29,1+kk,G,Po rekonstrukci,praha 2,7990000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vysehrad-vratislavova/3959169612
